"","employees","starting_salaries","salary_adjustments","salaries_2018","raises"
"68","Employee 68",44954.8934819177,5861,50815.8934819177,TRUE
"69","Employee 69",41867.412913125,-4317,37550.412913125,FALSE
"70","Employee 70",48385.9096770175,-3943,44442.9096770175,FALSE
"71","Employee 71",43285.2570223622,4924,48209.2570223622,TRUE
"72","Employee 72",43218.8180997036,-1505,41713.8180997036,FALSE
"73","Employee 73",48384.4790258445,-3450,44934.4790258445,FALSE
"74","Employee 74",43707.5416813605,2297,46004.5416813605,TRUE
"75","Employee 75",47050.8816721849,4888,51938.8816721849,TRUE
"76","Employee 76",45396.4581945911,9762,55158.4581945911,TRUE
"77","Employee 77",45019.5167539641,4566,49585.5167539641,TRUE
"78","Employee 78",47672.5789438933,6684,54356.5789438933,TRUE
"79","Employee 79",44918.214539066,5606,50524.214539066,TRUE
"80","Employee 80",41402.2433944046,2131,43533.2433944046,TRUE
"81","Employee 81",44102.5822912343,8086,52188.5822912343,TRUE
"82","Employee 82",45935.6261207722,-2574,43361.6261207722,FALSE
"83","Employee 83",44169.4798367098,72,44241.4798367098,TRUE
"84","Employee 84",49511.0418950208,7207,56718.0418950208,TRUE
"85","Employee 85",43998.4545554034,4368,48366.4545554034,TRUE
"86","Employee 86",46961.1144345254,-2734,44227.1144345254,FALSE
"87","Employee 87",42109.5083188266,3551,45660.5083188266,TRUE
"88","Employee 88",46119.2610510625,-3098,43021.2610510625,FALSE
"89","Employee 89",44700.1126920804,4732,49432.1126920804,TRUE
"90","Employee 90",45013.0355730653,1462,46475.0355730653,TRUE
"91","Employee 91",41909.213680774,9703,51612.213680774,TRUE
"92","Employee 92",45522.0538587309,7680,53202.0538587309,TRUE
"93","Employee 93",40563.7743324041,-2286,38277.7743324041,FALSE
"94","Employee 94",40289.0288131312,5285,45574.0288131312,TRUE
"95","Employee 95",41712.9255924374,-417,41295.9255924374,FALSE
"96","Employee 96",48593.5352626257,2717,51310.5352626257,TRUE
"97","Employee 97",45289.7808724083,1966,47255.7808724083,TRUE
"98","Employee 98",47818.2064695284,-445,47373.2064695284,FALSE
"99","Employee 99",44573.0466768146,717,45290.0466768146,TRUE
"100","Employee 100",47220.5350454897,-1251,45969.5350454897,FALSE
